Id,compound
279521,0.2258
279522,0.6956
279524,0.3723
279525,-0.0516
279531,0.4276
279535,0.8615
279538,0.0
279539,0.4854
279544,0.7783
279546,0.6439
279547,0.9244
279551,0.1241
279552,0.6946
279553,0.5022
279573,0.9158
279576,-0.17
279578,0.6597
279579,0.8345
279581,-0.3182
279582,0.7783
279588,0.9442
279591,0.875
279595,0.8309
279597,0.3818
279598,0.3612
279600,0.4939
279601,0.3371
279602,0.9583
279604,0.2003
279605,0.7184
279609,0.34
279615,-0.8176
279617,0.8047
279618,-0.9704
279620,-0.9273
279621,0.4404
279622,-0.6202
279623,0.9712
279626,0.4633
279630,0.9879
279633,0.9239
279639,0.6901
279640,0.0
279642,-0.8305
279647,0.9801
279648,0.6808
279649,0.6494
279652,-0.5267
279663,0.8126
279667,0.9379
279668,-0.5974
279671,0.9565
351880,-0.6705
351887,0.9395
351889,0.8658
351890,0.9588
351891,0.0
351892,-0.882
351893,0.269
351895,0.3506
351896,0.8505
351897,0.6808
351900,0.3716
351901,0.34
351904,0.3818
351908,-0.2263
351909,0.7618
351911,0.9783
351912,0.7054
351915,0.7484
351917,-0.3382
351921,0.8543
351923,0.982
351925,0.4364
351928,0.0
351932,-0.4019
351939,-0.2023
351941,-0.4372
351946,0.0
351947,0.5859
351948,-0.7127
351950,0.3612
351955,0.9774
351956,-0.7512
351963,0.765
351964,0.4102
351965,-0.8641
351969,0.8462
351978,0.9259
351979,0.0
351980,-0.5499
351983,0.4203
351985,0.0
351987,0.3818
351989,0.1739
351990,0.3565
351991,0.9485
351992,-0.3252
351995,0.4939
351997,0.5531
279675,0.4667
279681,0.891
279689,0.9942
279692,-0.3071
279694,0.0534
279696,-0.5515
279701,-0.9231
279706,0.9455
279708,0.8822
279712,-0.2617
279713,0.8917
279718,0.3932
279719,0.8397
279720,0.4767
279724,0.9598
279726,-0.296
279730,0.7204
279731,0.8716
351998,0.9629
352009,0.8612
352010,-0.5574
352011,-0.9718
352012,-0.3832
352013,-0.4887
352015,0.9712
352017,0.0772
352018,0.3521
352019,0.5994
352020,0.0387
352022,-0.9151
352025,0.8998
352027,0.9159
352029,0.9596
352036,-0.2734
352038,0.1406
352041,0.8689
352045,0.0
352046,0.9378
352048,0.7906
352050,0.8279
352055,0.2365
279738,0.8846
279739,-0.1027
279740,0.9548
279743,0.6908
279746,0.1901
279747,0.8658
279749,0.6486
279751,0.8849
279753,0.25
279755,-0.3919
279756,0.7096
279764,0.9709
